Target ↓ Transfer →	XLM-R no ft	Basque	English	Finnish	French	German	Greek_Modern	Hebrew_Modern	Hindi	Indonesian	Japanese	Korean	Mandarin	Persian	Russian	Spanish	Tagalog	Thai	Turkish	Vietnamese
Alamblak	61.06211501	-1.855002695	-1.845244001	5.080742742	-4.149786959	-2.221173496	-4.107716319	-7.124406492	38.09054087	-3.855112201	-6.793799595	-7.896415565	-7.575796096	7.134131945	4.571676134	-1.036474735	19.79513139	1.761007908	-2.568485874	-1.361909039
Amele	63.18690527	7.123999877	0.5643050567	8.893923293	1.282671548	-0.6524984805	-1.604386537	-5.873884999	51.38356148	7.038504768	-3.972321241	-8.0807002	-6.403957185	15.7801344	12.59444294	3.546039447	16.24386686	4.866812729	6.447959398	5.688442145
Apurina	41.9501132	-0.4021779274	0.1059564092	4.770492003	0.8951704	0.6857592785	0.01688013826	-2.155842689	12.47885938	0.2606808627	-0.6105906878	-1.517196164	-3.893527608	4.117013186	6.898402831	3.19599731	10.80441659	5.598811411	3.951594559	3.270125901
Arabic_Egyptian	3.284593899	-0.707049454	-0.7162816336	-0.7515485563	-0.7324522203	-0.7469871837	-0.7412253841	-0.767091893	-0.6896087656	-0.7725805442	-0.7430627	-0.7707244034	-0.7242018239	-0.6203821328	-0.6399773086	-0.7276692185	-0.646958712	-0.6952781058	-0.6672387919	-0.7701053266
Arapesh_Mountain	61.10769887	3.848449536	2.272437747	9.18955783	0.04005715741	1.894273757	0.6298316237	-2.074060149	58.86770284	0.4632589855	-2.419002262	-4.270385817	-4.176742941	12.02028864	11.51518647	1.564050039	17.16894615	9.285465563	7.818105017	2.618682854
Barasano	21.8789334	5.196020912	0.3345081321	2.611028606	0.2536810146	-0.03105963339	-1.346061135	-1.484940164	6.953924474	2.658445243	0.642848973	-1.1819438	-0.9382104212	2.819814938	1.489144829	0.6293964049	9.47731076	2.714160692	2.672088186	2.70808933
Burmese	19.58093986	-12.1669108	-12.82766912	-12.77219761	-12.98631987	-12.67657026	-12.58110396	-12.43433396	-7.182821463	-12.67206659	-13.20847316	-12.42504066	-12.52038062	-12.40269505	-12.59839169	-12.48476837	-11.5450442	-12.20307886	-12.07592673	-12.049924
Chamorro	85.66075953	12.22950322	1.140550687	14.40703152	0.9035945339	0.9011449452	11.92730262	-1.005031232	40.43160578	15.00944926	-0.2882168987	-5.626650052	-3.104086814	19.65526796	25.05902096	19.81467894	28.11611055	15.94282564	9.371348671	16.9847306
Daga	92.62674916	0.1995984808	-11.9032012	4.330572451	-10.2807621	-11.05015549	-9.184386846	-14.67175937	37.22367013	-2.155875864	-14.29497338	-17.31392638	-16.06183354	2.272239914	7.175160461	1.089296469	15.81449704	-3.653889687	-4.418218906	-5.514841285
Fijian	41.99249732	2.712982778	-0.9429451485	3.050560079	-3.15332939	-0.7896555056	-4.099979916	-3.373113733	26.54320025	-0.2046315352	-2.57857718	-5.342983815	-3.987803947	1.781280432	6.019732965	-2.372427569	1.932815213	3.688025529	3.195853034	-4.306918487
Georgian	1576.04416	-1439.733098	-1481.250933	-1459.785209	-1481.705829	-1415.04381	-1520.476292	-1506.693972	-1444.731998	-1472.773535	-1509.315756	-1525.225026	-1490.57498	-1462.870082	-1407.969313	-1464.092205	-1483.379466	-1509.69625	-1409.699316	-1502.287357
Guarani	70.69742189	14.60139909	-2.526736494	8.145546399	0.6736180756	1.064842305	0.898346425	-4.526207799	20.48563998	2.996450092	-4.248424144	-6.761856734	-5.533017687	8.620928005	19.48931199	11.05672538	30.69376185	4.442807344	5.932408738	10.80168132
Hausa	16.27674368	-6.641790542	-6.86501303	-6.460725781	-7.028280557	-6.800078523	-6.838639057	-6.76206023	-5.181806422	-6.936641895	-7.096674332	-7.065640563	-6.35465252	-5.297754066	-6.354834173	-7.123720102	-6.294744426	-6.323851568	-6.034299589	-6.851950095
Jakaltek	44.80908248	4.660162752	0.337592964	2.543909588	-0.07863166033	-0.1736279113	-2.696792555	-2.273139699	27.66577388	5.30108368	-2.101799491	-3.401532499	-1.874603618	5.208038038	6.47496845	-0.5295587275	12.95123518	2.770483079	2.360679015	4.22444993
Kewa	73.57322475	0.2290156191	-5.451635562	7.876086008	-4.564289985	-2.062354328	-6.589578558	-6.534246787	48.20790528	-1.263943259	-4.515800661	-9.507677271	-7.282731972	3.69589104	11.08310982	-1.25958681	9.658397184	5.492019822	-1.809949161	-0.6900378944
Khalkha	180.3983897	-12.60640515	-25.79471315	-7.219713356	-25.18118618	-27.3380304	-15.81229372	-31.3132982	91.5719695	-4.748681822	-37.53661174	-40.93041043	-34.76517998	7.008007113	-0.5595007295	-16.8082116	28.10834497	-14.55598377	-16.13747335	-8.634854388
Khoekhoe	30.47758718	0.1028593285	-1.2034326	2.231786263	-0.6166774722	-1.76763452	-0.3043997791	-0.7843411196	6.78225568	0.1163515237	0.5526972347	-2.599202886	2.104551049	7.486779124	4.817326773	1.633129233	14.62836455	4.437890171	4.169260579	3.167226496
Lango	63.45686451	2.217593959	-3.408380641	3.92240575	-5.752212112	-4.201180015	-5.884221761	-6.289175749	42.90093826	1.585233981	-8.382649763	-9.400322215	-8.862312913	6.076783785	6.02801475	1.818108261	12.20150297	5.81954955	1.498261816	0.04149664656
Malagasy	9.569054351	-3.515420824	-3.362472365	-3.181985473	-3.470778212	-3.354278008	-3.158743373	-3.182558071	-2.624548647	-3.327704263	-3.398064152	-3.421555202	-3.17074643	-2.825931569	-3.028423728	-3.53939325	-2.77773739	-3.085488471	-3.01568439	-3.373712554
Mapudungun	45.54123742	0.9815258206	-1.860311804	5.597949802	0.3721048029	-1.231706837	-0.9903357073	-2.145924571	34.61067724	1.919285253	0.06733922101	-4.033003444	-3.63736189	6.025844621	9.972028428	1.055051546	13.73934745	3.630982064	2.718775789	2.608941971
Mixtec_Chalcatongo	20.10964219	4.093743188	-2.612967097	1.266228155	-2.538918205	-2.563611706	-2.08310184	-3.104131167	4.258632081	0.3934409118	-2.18289532	-3.988702413	-2.384670124	2.265848518	5.008431625	2.1555432	12.61910717	-0.003238125578	-0.3482154144	4.013957017
Oromo_Harar	23.13579347	-5.984745008	-7.15129972	-3.465606221	-7.107638416	-6.635155346	-7.199459311	-6.731844643	0.8235998346	-6.654440215	-6.746714517	-7.143014126	-6.335185336	-4.807712579	-5.304635899	-7.270801838	-6.734022172	-5.979093461	-5.746201375	-7.127186401
Quechua_Imbabura	51.6660898	1.289850605	-1.4855599	2.405504571	-3.428186264	1.559480483	-3.692916323	-2.61161882	29.92182045	0.8412301597	-1.824836896	-4.523565759	-6.290012197	4.093745107	4.247981723	-4.858636627	3.479335309	1.836119061	0.6885583802	1.444243205
Sango	40.04914259	6.1930321	1.697273167	6.092093812	1.678303634	1.96868933	-1.126855543	-0.9648119662	31.69704656	6.31031991	-0.6324187364	-2.586350782	-1.108984644	10.49274032	12.17421898	1.361997568	13.01983831	9.619344459	8.281717102	4.415998709
Sanuma	25.52215665	6.054085434	1.986261174	12.29555385	3.001281844	1.438458465	1.491607362	1.120591732	18.31793173	4.163899215	0.2248823367	-0.6386693569	-0.7352343129	7.20467935	10.90993598	4.59026138	14.55667892	7.219661767	5.304100892	3.241481333
Swahili	32.24579116	-22.7001693	-22.14374127	-21.57045073	-21.86634727	-21.91903225	-22.00573056	-21.78440251	-20.52853847	-22.36068684	-22.12660572	-22.15994682	-21.56905584	-20.77441924	-21.20811056	-21.17121704	-21.96154731	-21.02673552	-21.67921164	-22.26571156
Wichi	39.63919991	0.7160168083	-1.79575022	2.048421558	-1.451552003	-3.223629565	-2.357332837	-4.493875997	17.75411509	-0.6082860579	-2.806182168	-5.585691337	-5.282172336	2.190195674	3.618493112	0.146952197	14.59214999	0.9987891826	0.3885502985	2.61504779
Yagua	43.28311161	-2.869125839	-6.871419372	-4.746234286	-8.960283313	-8.381440787	-7.995885777	-8.441257987	17.4508137	-3.601467235	-8.945546329	-7.837718058	-8.273780051	-1.097347283	-3.478690071	-6.686710641	8.552646667	-6.278238885	-5.93384348	-7.179380977
Yaqui	39.6610744	2.4673987	-1.505882986	4.672589679	-0.8055494629	0.5788277854	-2.113928966	-2.343979343	21.59915311	-0.3436238328	-1.834863175	-3.483682023	-4.358665547	2.794992915	3.414261408	0.46203493	11.10551131	1.452362231	1.613736999	-0.1906511264
Yoruba	24.01876345	2.55098091	-0.1792310436	3.483744644	0.1346351933	-0.2029051618	1.480890682	-0.9905311307	8.418483454	3.20341841	-0.3298063419	-2.377179349	-0.2043789956	5.85178539	11.10957246	2.040940937	9.088736309	2.965660115	1.639878387	1.851396724